X_Value,Temperature_0,Temperature_1,Temperature_2
71.4,193.238948,225.410365,183.794825
71.5,193.238948,225.410365,183.794825
71.6,193.238948,225.410365,183.794825
71.7,193.037112,223.471556,183.598188
71.8,193.037112,223.471556,183.598188
71.9,193.037112,223.471556,183.598188
72,192.930944,223.12578,183.438301
72.1,192.930944,223.12578,183.438301
72.2,192.930944,223.12578,183.438301
72.3,192.638441,222.478439,183.212791
72.4,192.638441,222.478439,183.212791
72.5,192.638441,222.478439,183.212791
72.6,191.995914,221.861307,182.945999
72.7,191.995914,221.861307,182.945999
72.8,191.995914,221.861307,182.945999
72.9,191.919563,221.306185,182.754855
73,191.919563,221.306185,182.754855
73.1,191.919563,221.306185,182.754855
73.2,191.365767,220.756181,182.537463
73.3,191.365767,220.756181,182.537463
73.4,191.365767,220.756181,182.537463
73.5,191.154838,220.266811,182.35372
